LONT,TEMP,DAYS,DATE,LONP,LATP,SURVIV,DIREC,DIVISION
37.6,NaN,6,  Oct 3,24.05,54.6,340000,Advance,I
36,NaN,6,  Oct 4,24.8,54.82,340000,Advance,I
33.2,NaN,6,  Oct 5,25.8,54.6,340000,Advance,I
32,NaN,6,  Oct 6,26.75,54.85,320000,Advance,I
29.2,NaN,6,  Oct 7,27.499,55.05,300000,Advance,I
28.5,NaN,6,  Oct 8,28.15,55.2,280000,Advance,I
27.2,NaN,6,  Oct 9,29,55.3,240000,Advance,I
26.7,NaN,6,  Oct 10,29.55,55.36,210000,Advance,I
25.3,NaN,6,  Oct 11,30.29,55.405,180000,Advance,I
25.3,NaN,6,  Oct 12,30.5,55.405,175000,Advance,I
25.3,NaN,6,  Oct 13,32.2,54.85,145000,Advance,I
25.3,NaN,6,  Oct 14,33.75,55.4,140000,Advance,I
25.3,NaN,6,  Oct 15,35.05,56.55,127100,Advance,I
25.3,NaN,6,  Oct 16,36.15,56.38,100000,Advance,I
25.3,NaN,6,  Oct 17,37.6,57.1,100000,Advance,I
25.3,0,6,  Oct 18,37.75,56.85,100000,Retreat,I
25.3,0,6,  Oct 18,37.6,56.8,98000,Retreat,I
25.3,0,6,  Oct 18,37.5,55.8,97000,Retreat,I
25.3,0,6,  Oct 24,37.28,55.68,96000,Retreat,I
25.3,-3,6,  Oct 24,35.8,56.05,87000,Retreat,I
25.3,-6,6,  Oct 24,34.75,55.57,55000,Retreat,I
25.3,-9,16,  Nov 9,33.75,55,37000,Retreat,I
25.3,-21,5,  Nov 14,32.45,54.55,24000,Retreat,I
25.3,-16,5,  Nov 19,30.9,54.25,20000,Retreat,I
25.3,-11,10,  Nov 24,29.8,53.75,20000,Retreat,I
25.3,-18,10,  Nov 26,29.1,53.54,20000,Retreat,I
25.3,-20,4,  Nov 28,28.9,53.56,20000,Retreat,I
25.3,-24,3,  Dec 1,27.95,54.12,20000,Retreat,I
25.3,-30,5,  Dec 6,27.41,53.82,12000,Retreat,I
25.3,-29,,  Dec 6,26.9,53.97,14000,Retreat,I
25.3,-26,1,  Dec 7,25.6,54.05,8000,Retreat,I
25.3,NaN,,  Dec 15,25.07,54.03,4000,Retreat,I
25.3,NaN,,  Dec 16,24.58,54,4000,Retreat,I
25.3,NaN,,  Dec 17,24.21,53.99,4000,Retreat,I
25.3,NaN,,  Dec 18,24,55.1,60000,Advance,II
25.3,NaN,,  Dec 19,24.5,55.2,60000,Advance,II
25.3,NaN,,  Dec 20,25.5,54.7,60000,Advance,II
25.3,NaN,,  Dec 21,26.6,55.7,40000,Advance,II
25.3,NaN,,  Dec 22,27.4,55.6,33000,Advance,II
25.3,NaN,,  Dec 23,28.7,55.5,33000,Advance,II
25.3,NaN,,  Dec 24,28.7,55.5,33000,Retreat,II
25.3,NaN,,  Dec 25,29.2,54.25,30000,Retreat,II
25.3,NaN,,  Dec 26,28.5,54.15,30000,Retreat,II
25.3,NaN,,  Dec 27,28.3,54.25,28000,Retreat,II
25.3,NaN,,  Dec 28,24,55.2,22000,Advance,III
25.3,NaN,,  Dec 29,24.5,55.3,22000,Advance,III
25.3,NaN,,  Dec 30,24.6,55.8,6000,Advance,III
25.3,NaN,,  Dec 31,24.6,55.8,6000,Retreat,III
25.3,NaN,,  Dec 32,24.2,54.4,6000,Retreat,III
25.3,NaN,,  Dec 33,24.1,54.4,6000,Retreat,III
